Eq_Latitude,Eq_Longitude,Depth,Magnitude,City
31.0451,-8.4611,10,4.2,Agadir
30.9061,-8.4769,10,4.9,Agadir
31.0643,-8.3907,25.978,6.8,Agadir
35.0303,-3.9547,15.028,4.5,Agadir
35.0177,-3.8262,10,4.4,Ahfir
35.0455,-3.8846,10,4.1,Aïn Beni Mathar
34.9885,-3.8382,10,4.4,Aïn Leuh
34.995,-3.9009,10,4.9,Al Aaroui
30.3325,-9.5904,10,4.1,Al Aaroui
35.5367,-3.4806,10,4.4,Al Aaroui
35.4546,-3.6108,10,4.3,Al Aaroui
35.4758,-3.5546,10,4.3,Al Aaroui
35.3062,-4.0765,10,4.3,Al Aaroui
35.4713,-3.4838,15.504,4.5,Al Aaroui
35.2919,-3.6514,10,4.9,Al Aaroui
35.5593,-3.4635,10,4,Al Aaroui
35.4414,-3.6393,10,4,Al Aaroui
35.4923,-3.5369,10,4.1,Al Aaroui
35.4506,-3.6166,10,4,Al Aaroui
35.6277,-3.4835,10,4.5,Al Aaroui
35.3156,-3.5996,10,4.4,Al Aaroui
35.4408,-3.5561,10,4.1,Al Aaroui
35.4589,-3.477,10,4.2,Al Aaroui
35.5087,-3.8224,10,4.3,Al Aaroui
35.5086,-3.6711,11.69,4.3,Al Aaroui
35.5318,-3.6604,11.12,4.2,Al Aaroui
33.2582,-4.2807,10,4.2,Al Aaroui
35.3652,-3.7794,10,4.3,Al Aaroui
35.1559,-3.896,10,4.8,Al Aaroui
35.4969,-3.6974,10,4,Al Aaroui
35.3958,-3.4733,10,4.2,Al Aaroui
35.4828,-3.6101,10,4.2,Al Aaroui
35.4448,-3.6889,10,4,Al Aaroui
35.4853,-3.5403,10,5.3,Al Aaroui
35.4578,-3.6295,10,4.3,Al Aaroui
35.4442,-3.6231,10,4.4,Al Aaroui
35.553,-3.9634,10,4.5,Al Aaroui
35.4993,-3.6941,10,4.3,Al Aaroui
35.2794,-3.6453,10,4.6,Al Aaroui
35.4397,-3.6282,10,4.4,Al Aaroui
35.3962,-3.7318,18.08,4.4,Al Aaroui
35.4995,-3.5835,10,4.7,Al Aaroui
35.5354,-3.7349,10,4.5,Al Aaroui
35.4548,-3.6342,10,4.3,Al Aaroui
35.4151,-3.6628,10,4.4,Al Aaroui
35.3374,-3.7105,10,4.3,Al Aaroui
35.4606,-3.5802,5.25,4.6,Al Aaroui
35.4452,-3.6289,10,4.3,Al Aaroui
31.8191,-10.2808,10,4.2,Al Aaroui
35.5541,-5.3362,10,4.3,Al Aaroui
35.4251,-3.8678,10,4.8,Al Aaroui
34.3852,-4.9715,10,4.5,Al Aaroui
32.6752,-4.2435,10,4.3,Al Aaroui
32.5946,-4.2595,10,4.2,Al Aaroui
32.6609,-4.2534,10,5,Al Aaroui
33.9511,-11.501,10,4,Al Aaroui
34.8752,-4.5637,59.4,4.3,Al Aaroui
30.8465,-7.3287,10,3.8,Al Aaroui
32.5435,-4.5132,10,4.3,Al Aaroui
33.4516,-2.8606,10,4.3,Al Aaroui
30.2546,-9.8262,10,4.4,Al Aaroui
33.5258,-11.4314,13.51,4.6,Al Aaroui
35.5244,-3.7976,10,4.3,Al Aaroui
35.4893,-3.8335,10,4.2,Al Aaroui
35.6679,-3.5522,10,4.2,Al Aaroui
35.7179,-3.701,10,4.1,Al Aaroui
35.6879,-3.634,10,5.2,Al Aaroui
35.4791,-3.6897,10,4.2,Al Aaroui
35.6643,-3.5879,10,4.9,Al Aaroui
35.6221,-3.5757,10,4.8,Al Aaroui
35.854,-3.7957,10,4.3,Al Aaroui
35.6577,-3.6245,10,4.6,Al Aaroui
35.6992,-3.5952,10,5,Al Aaroui
35.7077,-3.6625,10,4.2,Al Aaroui
35.6773,-3.5733,10,4.8,Al Aaroui
35.4857,-3.7849,10,5,Al Aaroui
35.5718,-3.5728,11.72,4.3,Al Aaroui
35.6949,-3.5641,10,4.7,Al Aaroui
35.6866,-3.6285,10,4.8,Al Aaroui
35.7366,-3.5222,10,4.6,Al Aaroui
35.7375,-3.5108,10,5.1,Al Aaroui
35.3652,-3.8782,8.47,4.2,Al Aaroui
35.6181,-3.8796,10,4.3,Al Aaroui
35.5909,-3.7731,10,4.4,Al Aaroui
35.6091,-3.7462,10,4,Al Aaroui
35.4566,-3.8528,10,4.2,Al Aaroui
35.4263,-3.8032,10,4.1,Al Aaroui
35.452,-3.821,10,4.5,Al Aaroui
35.5796,-3.7851,10,4.3,Al Aaroui
35.6728,-3.568,10,4.9,Al Aaroui
35.5265,-3.6992,10,4.5,Al Aaroui
35.4901,-3.9411,1.2,4.1,Al Aaroui
35.5913,-3.7694,10,4.1,Al Aaroui
35.5363,-3.7839,10,4.3,Al Aaroui
35.739,-3.5856,10,4.9,Al Aaroui
35.4901,-3.7475,21.43,4.4,Al Aaroui
35.5453,-3.6703,10,4.7,Al Aaroui
35.6955,-3.6741,10,4.1,Al Aaroui
35.4917,-3.8394,10,4.2,Al Aaroui
35.5051,-3.8783,10,5.2,Al Aaroui
35.4764,-3.7734,10,5.1,Al Aaroui
35.4992,-3.8211,10,4.2,Al Aaroui
35.6749,-3.7449,10,4.7,Al Aaroui
35.6805,-3.723,10,5.3,Al Aaroui
35.5953,-3.8166,10,5,Al Aaroui
35.6493,-3.6818,12,6.3,Al Aaroui
35.6247,-3.6499,10,5.1,Al Aaroui
34.896,-2.8022,5,4.3,Al Aaroui
30.2995,-9.6366,16.12,4.1,Al Aaroui
35.7398,-4.4709,111.35,4.1,Al Aaroui
34.9249,-4.4305,18.67,4.4,Al Aaroui
31.0564,-8.7735,10,4.8,Al Aaroui
34.999,-2.9655,7.5,4.1,Al Aaroui
35.929,-3.545,0,4.4,Al Aaroui
33.6607,-4.9973,17.89,4.2,Al Aaroui
32.2895,-6.2519,10,4,Al Aaroui
34.9512,-10.1239,10,4.2,Al Aaroui
33.6872,-5.1015,10,4.2,Al Aaroui
33.8008,-4.1299,18.26,4.2,Al Aaroui
34.2111,-4.9098,10.04,4.6,Al Aaroui
35.4835,-7.0328,34.84,4.8,Al Aaroui
35.245,-4.1921,10,4.2,Al Aaroui
32.417,-5.379,10.4,4.5,Al Aaroui
34.703,-2.173,8.1,4.1,Al Aaroui
33.358,-5.037,10,4.3,Al Aaroui
34.413,-5.534,10,4.2,Al Aaroui
35.557,-4.5,10,4.2,Al Aaroui
32.011,-5.912,7.9,4.5,Al Aaroui
32.257,-5.698,10,4.6,Al Aaroui
35.269,-6.226,10,4.8,Al Aaroui
34.714,-5.527,15.6,4.1,Al Aaroui
34.936,-5.504,27.1,4.2,Al Aaroui
34.857,-5.568,10,4.5,Al Aaroui
32.703,-7.26,17,3.8,Al Aaroui
